cast_id,character,credit_id,gender,id,name,order,movieid
22,Lord Asriel,52fe4348c3a36847f8048655,2,8784,Daniel Craig,2,2268
25,Lee Scoresby,52fe4348c3a36847f804865d,2,16431,Sam Elliott,3,2268
24,Serafina Pekkala,52fe4348c3a36847f8048659,1,10912,Eva Green,4,2268
45,Pantalaimon (voice),52fe4348c3a36847f80486b7,2,1281,Freddie Highmore,5,2268
5,Ann Darrow,52fe422ec3a36847f800a19f,1,3489,Naomi Watts,0,254
6,Carl Denham,52fe422ec3a36847f800a1a3,2,70851,Jack Black,1,254
7,Jack Driscoll,52fe422ec3a36847f800a1a7,2,3490,Adrien Brody,2,254
8,Captain Englehorn,52fe422ec3a36847f800a1ab,2,3491,Thomas Kretschmann,3,254
9,Preston,52fe422ec3a36847f800a1af,2,3492,Colin Hanks,4,254
10,Kong / Lumpy,52fe422ec3a36847f800a1b3,2,1333,Andy Serkis,5,254
20,Rose DeWitt Bukater,52fe425ac3a36847f80179cb,1,204,Kate Winslet,0,597
21,Jack Dawson,52fe425ac3a36847f80179cf,2,6193,Leonardo DiCaprio,1,597
22,Ruth Dewitt Bukater,52fe425ac3a36847f80179d3,1,3713,Frances Fisher,2,597
23,Caledon 'Cal' Hockley,52fe425ac3a36847f80179d7,2,1954,Billy Zane,3,597
24,Molly Brown,52fe425ac3a36847f80179db,1,8534,Kathy Bates,4,597
25,Old Rose,52fe425ac3a36847f80179df,1,8535,Gloria Stuart,5,597
9,Steve Rogers / Captain America,543ecb490e0a2667450001db,2,16828,Chris Evans,0,271110
10,Tony Stark / Iron Man,543ecb5fc3a3684fe90001a9,2,3223,Robert Downey Jr.,1,271110
14,Natasha Romanoff / Black Widow,54b95becc3a3686c6800520e,1,1245,Scarlett Johansson,2,271110
15,Bucky Barnes / Winter Soldier,54b95c039251411d77004980,2,60898,Sebastian Stan,3,271110
17,Sam Wilson / Falcon,54ce33afc3a3687f92005096,2,53650,Anthony Mackie,4,271110
27,Lieutenant James Rhodes / War Machine,554ba7adc3a3685e630024fe,2,1896,Don Cheadle,5,271110
3,Lieutenant Alex Hopper,52fe469ec3a36847f8108ccb,2,60900,Taylor Kitsch,0,44833
8,Commander Stone Hopper,52fe469ec3a36847f8108cd7,2,28846,Alexander Skarsg\u00e5rd,1,44833
4,Petty Officer Cora 'Weps' Raikes,52fe469ec3a36847f8108ccf,1,131519,Rihanna,2,44833
6,Sam,52fe469ec3a36847f8108cd3,1,131520,Brooklyn Decker,3,44833
21,Captain Yugi Nagata,52fe469ec3a36847f8108d1b,2,13275,Tadanobu Asano,4,44833
9,Admiral Shane,52fe469ec3a36847f8108cdb,2,3896,Liam Neeson,5,44833
10,Owen Grady,5311015a9251410fe600151d,2,73457,Chris Pratt,0,135397
11,Claire Dearing,53110162925141104200157d,1,18997,Bryce Dallas Howard,1,135397
15,Simon Masrani,531101a3925141104d00157b,2,76793,Irrfan Khan,2,135397
9,Vic Hoskins,5311013992514110350014e9,2,7132,Vincent D'Onofrio,3,135397
13,Zach Mitchell,5311018d925141102a001455,2,1108907,Nick Robinson,4,135397
14,Gray Mitchell,5311019592514110130014ee,2,17181,Ty Simpkins,5,135397
